가로등번호,위도,경도
8167034,35.6373408,128.4245531
8171020,35.63604604,128.4266709
8171014,35.63603692,128.4251741
8171015,35.63604032,128.4254454
8171016,35.63604015,128.4256917
8171017,35.63604214,128.4259586
8171018,35.63604369,128.4262265
8171019,35.63604513,128.4264917
8168012,35.63734554,128.4252231
8168013,35.63734564,128.4255675
8168015,35.63734947,128.425971
8168014,35.63734677,128.425805
8168016,35.63735022,128.4261749
8168017,35.63735041,128.4265682
8171024,35.63605114,128.4277262
8171022,35.63604758,128.4271023
8171021,35.6360466,128.4268843
8171023,35.63604927,128.4274395
8171026,35.63605342,128.4282386
8171025,35.6360518,128.4279809
8171027,35.63605407,128.4284922
8168018,35.63735293,128.426812
8168019,35.63735303,128.4271191
8168020,35.63735586,128.4273846
8168021,35.63735691,128.4276101
8168022,35.63735994,128.4279204
8168023,35.63736002,128.4281967
8168024,35.637362,128.4284925
8168025,35.63736279,128.4287017
8169021,35.63737243,128.4307531
8171030,35.63605823,128.4292532
8171029,35.63605627,128.4290031
8171031,35.63606313,128.4295538
8168026,35.63736365,128.4289944
8168027,35.63736533,128.4292566
8168028,35.63736652,128.4295406
8168029,35.63733721,128.4296538
8169018,35.63736913,128.4300179
8169019,35.63736768,128.4302087
8169020,35.63737051,128.4304549
8169022,35.63737382,128.4310032
8169029,35.63902192,128.4298435
8169004,35.63856057,128.4296806
8169003,35.63888055,128.4296789
8169028,35.63875353,128.429846
8169001,35.63941656,128.4296736
8169002,35.63914331,128.4296756
8169030,35.63928116,128.4298417
8169031,35.63948741,128.42984
7367001,35.82210814,128.5281944
7367002,35.82244162,128.5278131
6026003,35.86677144,128.6375884
6026002,35.86666094,128.6378933
6035019,35.8751064,128.6462247
6031002,35.86624729,128.6448933
6030016,35.86650584,128.6449501
6263003,35.86585825,128.6499428
6037001,35.8653505,128.6495372
6038020,35.86456159,128.6498204
6038018,35.86394901,128.6496041
6205010,35.86600722,128.642689
6205009,35.86592641,128.6423695
6205008,35.8658336,128.6418636
6205007,35.86579603,128.6414713
6205006,35.86577921,128.641086
6205005,35.86578106,128.6406752
6205004,35.86580286,128.6402897
6205003,35.86585271,128.6399149
6205002,35.86593751,128.6395256
6205001,35.86599849,128.6392442
6024011,35.86599584,128.6414702
6024006,35.866352,128.6430968
6207001,35.86697719,128.6448114
6207005,35.86794439,128.6460793
6207004,35.86767527,128.6456999
6207003,35.8674818,128.6454269
6207002,35.86720123,128.6450343
6207008,35.86850548,128.6468554
6207007,35.86832099,128.6466003
6207006,35.86812787,128.6463313
6207010,35.86899949,128.6475422
6207011,35.86917352,128.6477845
6207012,35.8693564,128.6480427
6207013,35.86951768,128.6482653
6212004,35.87809555,128.6511804
6212003,35.87817125,128.6507983
6212002,35.87820475,128.6504344
6212005,35.87799242,128.6515201
6212001,35.87820528,128.6500767
6211016,35.87816578,128.6496919
6211015,35.87809756,128.6493529
6211014,35.87798263,128.6489893
6213001,35.87574183,128.6552239
6213002,35.87567566,128.6555475
6213003,35.87563422,128.6558877
